Mean Intensity,Median Intensity,Std Intensity,Min Intensity,Max Intensity,Intensity Ratio,Max Variance,IQR Intensity,label
178.509765625,192.0,41.400741406496195,1,214,214.0,213,6.0,0
111.7939453125,113.0,33.119597473071124,28,251,8.964285714285714,223,35.25,0
100.6123046875,77.0,50.608919947793446,32,253,7.90625,221,69.25,0
99.271484375,101.0,40.4830998610424,27,239,8.851851851851851,212,61.0,0
87.046875,56.0,59.733929503962614,2,246,123.0,244,78.0,0
95.1328125,87.5,61.96741786184772,1,253,253.0,252,103.25,0
73.2822265625,70.0,33.36337339216344,3,238,79.33333333333333,235,41.0,0
133.5126953125,144.0,30.236435410428932,6,213,35.5,207,33.0,0
115.7978515625,114.0,36.239965681160854,4,197,49.25,193,51.0,0
132.5830078125,141.0,56.031423803550304,7,226,32.285714285714285,219,94.0,0
94.052734375,105.0,28.79889104350536,2,185,92.5,183,10.0,0
110.4091796875,99.0,54.436814304942914,1,255,255.0,254,47.0,0
92.58984375,98.0,41.298595125628495,1,246,246.0,245,48.0,0
86.9560546875,74.0,45.287762886314106,2,214,107.0,212,70.0,0
91.8056640625,90.5,18.39577713378524,43,164,3.813953488372093,121,23.0,0
100.5498046875,92.0,50.27717568134772,2,247,123.5,245,52.0,0
99.36328125,98.5,58.592448813677336,1,253,253.0,252,101.0,0
126.31640625,125.0,48.873955834983946,3,250,83.33333333333333,247,36.0,0
116.283203125,112.0,62.160451648254536,11,232,21.09090909090909,221,95.0,0
116.12109375,117.0,14.399401313204342,32,175,5.46875,143,11.0,0
125.548828125,124.0,59.92952859037195,3,240,80.0,237,102.25,0
104.5673828125,101.5,65.90736389665862,2,252,126.0,250,116.5,0
129.572265625,142.0,45.037664926752626,12,253,21.083333333333332,241,53.0,0
95.8896484375,81.0,65.33772337608768,1,231,231.0,230,116.0,0
124.353515625,141.5,62.54873121577192,1,254,254.0,253,96.25,0
124.8359375,124.0,50.547417766599054,25,252,10.08,227,72.0,0
86.787109375,74.0,33.16936283239078,5,249,49.8,244,28.0,0
115.6396484375,129.5,62.075275861762414,1,254,254.0,253,112.0,0
151.7353515625,162.0,34.707247760979676,26,212,8.153846153846153,186,44.0,0
115.6962890625,122.0,47.4783723984294,1,217,217.0,216,80.0,0
120.388671875,136.0,72.3380958143673,1,244,244.0,243,128.25,0
94.642578125,71.0,62.79369419657735,1,228,228.0,227,121.0,0
94.728515625,97.0,29.07121051158914,17,247,14.529411764705882,230,28.0,0
